OID_,Join_Count,TARGET_FID,Year,Quarter,EIN,Address,City,State,Zip,County,naics,GEOID,STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,NAME,NAMELSAD,INTPTLAT,INTPTLON
11,1,11,2006.000000000000000,3.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
12,1,12,2006.000000000000000,3.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
13,1,13,2006.000000000000000,2.000000000000000,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
14,1,14,2006.000000000000000,3.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
15,1,15,2006.000000000000000,4.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
16,1,16,2006.000000000000000,4.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
17,1,17,2006.000000000000000,4.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
18,1,18,2006.000000000000000,4.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
19,1,19,2006.000000000000000,3.000000000000000,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
20,1,20,2007.000000000000000,1.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
21,1,21,2007.000000000000000,1.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
22,1,22,2007.000000000000000,1.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
23,1,23,2006.000000000000000,4.000000000000000,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
24,1,24,2007.000000000000000,1.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
25,1,25,2007.000000000000000,2.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
26,1,26,2007.000000000000000,2.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
27,1,27,2007.000000000000000,2.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
28,1,28,2007.000000000000000,1.000000000000000,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
29,1,29,2007.000000000000000,3.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
30,1,30,2007.000000000000000,2.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
31,1,31,2007.000000000000000,3.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
32,1,32,2007.000000000000000,3.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
33,1,33,2007.000000000000000,2.000000000000000,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
34,1,34,2007.000000000000000,3.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
35,1,35,2007.000000000000000,4.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
36,1,36,2007.000000000000000,4.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
37,1,37,2007.000000000000000,4.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
38,1,38,2007.000000000000000,3.000000000000000,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
39,1,39,2007.000000000000000,4.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
40,1,40,2008.000000000000000,1.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
41,1,41,2008.000000000000000,1.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
42,1,42,2008.000000000000000,1.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
43,1,43,2007.000000000000000,4.000000000000000,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
44,1,44,2008.000000000000000,1.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
45,1,45,2008.000000000000000,2.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
46,1,46,2008.000000000000000,2.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
47,1,47,2008.000000000000000,2.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
48,1,48,2008.000000000000000,1.000000000000000,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
49,1,49,2008.000000000000000,2.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
50,1,50,2008.000000000000000,3.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
51,1,51,2008.000000000000000,3.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
52,1,52,2008.000000000000000,3.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
53,1,53,2008.000000000000000,2.000000000000000,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
54,1,54,2008.000000000000000,3.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
55,1,55,2008.000000000000000,4.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
56,1,56,2008.000000000000000,4.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
57,1,57,2008.000000000000000,4.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
58,1,58,2008.000000000000000,3.000000000000000,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
59,1,59,2008.000000000000000,4.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
60,1,60,2009.000000000000000,1.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
61,1,61,2009.000000000000000,1.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
62,1,62,2009.000000000000000,1.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
63,1,63,2009.000000000000000,1.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
64,1,64,2008.000000000000000,4.000000000000000,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
65,1,65,2009.000000000000000,2.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
66,1,66,2009.000000000000000,2.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
67,1,67,2009.000000000000000,2.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
68,1,68,2009.000000000000000,1.000000000000000,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
69,1,69,2009.000000000000000,2.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
70,1,70,2009.000000000000000,3.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
71,1,71,2009.000000000000000,3.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
72,1,72,2009.000000000000000,3.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
73,1,73,2009.000000000000000,2.000000000000000,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
74,1,74,2009.000000000000000,4.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
75,1,75,2009.000000000000000,3.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
76,1,76,2009.000000000000000,4.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
77,1,77,2009.000000000000000,4.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
78,1,78,2009.000000000000000,3.000000000000000,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
79,1,79,2010.000000000000000,1.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
80,1,80,2009.000000000000000,4.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
81,1,81,2010.000000000000000,1.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
82,1,82,2010.000000000000000,1.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
83,1,83,2009.000000000000000,4.000000000000000,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
84,1,84,2010.000000000000000,2.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
85,1,85,2010.000000000000000,1.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
86,1,86,2010.000000000000000,2.000000000000000,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61.000000000000000,622110.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
87,1,87,2010.000000000000000,2.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
88,1,88,2010.000000000000000,2.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
89,1,89,2010.000000000000000,1.000000000000000,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
90,1,90,2010.000000000000000,3.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
91,1,91,2010.000000000000000,2.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
92,1,92,2010.000000000000000,3.000000000000000,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61.000000000000000,622110.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
93,1,93,2010.000000000000000,3.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
94,1,94,2010.000000000000000,3.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
95,1,95,2010.000000000000000,3.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
96,1,96,2010.000000000000000,2.000000000000000,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
97,1,97,2010.000000000000000,4.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
98,1,98,2010.000000000000000,4.000000000000000,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61.000000000000000,622110.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
99,1,99,2010.000000000000000,4.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
100,1,100,2010.000000000000000,4.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
101,1,101,2010.000000000000000,3.000000000000000,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
102,1,102,2011.000000000000000,1.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
103,1,103,2010.000000000000000,4.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
104,1,104,2011.000000000000000,1.000000000000000,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61.000000000000000,622110.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
105,1,105,2011.000000000000000,1.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
106,1,106,2011.000000000000000,1.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
107,1,107,2010.000000000000000,4.000000000000000,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
108,1,108,2011.000000000000000,2.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
109,1,109,2011.000000000000000,1.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
110,1,110,2011.000000000000000,2.000000000000000,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61.000000000000000,622110.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
111,1,111,2011.000000000000000,2.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
112,1,112,2011.000000000000000,1.000000000000000,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
113,1,113,2011.000000000000000,2.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
114,1,114,2011.000000000000000,3.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
115,1,115,2011.000000000000000,2.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
116,1,116,2011.000000000000000,3.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
