Year,Quarter,EIN,Address,City,State,Zip,County,naics
2009,4,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310
2010,1,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2010,1,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2010,1,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2010,1,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2010,1,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310
2010,2,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2010,2,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2010,2,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110
2010,2,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2010,2,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2010,2,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310
2010,3,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2010,3,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2010,3,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110
2010,3,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2010,3,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2010,3,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310
2010,4,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2010,4,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2010,4,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110
2010,4,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2010,4,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2010,4,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310
2011,1,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2011,1,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2011,1,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110
2011,1,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2011,1,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2011,1,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310
2011,2,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2011,2,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2011,2,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110
2011,2,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2011,2,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2011,2,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310
2011,3,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2011,3,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2011,3,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110
2011,3,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2011,3,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2011,3,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310
2011,3,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61,611310
2011,4,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2011,4,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2011,4,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110
2011,4,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2011,4,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2011,4,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310
2011,4,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61,611310
2011,4,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25,611310
2012,1,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2012,1,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2012,1,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110
2012,1,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2012,1,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2012,1,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310
2012,1,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61,611310
2012,1,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25,611310
2012,2,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2012,2,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2012,2,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110
2012,2,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2012,2,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2012,2,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310
2012,2,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61,611310
2012,2,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25,611310
2012,3,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2012,3,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2012,3,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110
2012,3,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2012,3,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2012,3,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310
2012,3,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61,611310
2012,3,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25,611310
2012,4,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2012,4,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2012,4,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110
2012,4,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2012,4,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2012,4,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310
2012,4,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61,611310
2012,4,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25,611310
2013,1,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2013,1,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2013,1,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110
2013,1,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2013,1,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2013,1,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310
2013,1,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61,611310
2013,1,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25,611310
2013,2,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2013,2,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2013,2,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110
2013,2,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2013,2,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2013,2,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310
2013,2,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61,611310
2013,2,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25,611310
2013,3,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2013,3,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2013,3,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110
2013,3,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2013,3,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2013,3,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310
2013,3,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61,611310
2013,3,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25,611310
2013,4,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2013,4,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2013,4,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110
2013,4,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2013,4,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2013,4,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310
2013,4,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61,611310
2013,4,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25,611310
2014,1,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2014,1,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2014,1,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110
2014,1,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2014,1,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2014,1,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310
2014,1,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61,611310
2014,1,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25,611310
2014,2,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2014,2,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2014,2,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110
2014,2,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2014,2,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2014,2,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310
2014,2,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61,611310
2014,2,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25,611310
2014,3,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2014,3,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114
2014,3,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110
2014,3,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2014,3,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2014,3,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310
2014,3,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61,611310
2014,3,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25,611310
2014,4,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2014,4,310411980,5348 VINE ST,CINCINNATI,OH,45217,61,551114
2014,4,310411980,8700 MASON MONTGOMERY RD,MASON,OH,45040,61,551114
2014,4,310411980,8611 BECKETT RD,WEST CHESTER,OH,45069,61,551114
2014,4,310411980,6250 CENTER HILL AVE,CINCINNATI,OH,45224,61,551114
2014,4,310411980,700 WILMER AVE HANGER #51,CINCINNATI,OH,45226,61,551114
2014,4,310411980,11510 REED HARTMAN HWY,CINCINNATI,OH,45241,61,551114
2014,4,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2014,4,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2014,4,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310
2014,4,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61,611310
2014,4,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25,611310
2015,1,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2015,1,310411980,5348 VINE ST,CINCINNATI,OH,45217,61,551114
2015,1,310411980,8700 MASON MONTGOMERY RD,MASON,OH,45040,61,551114
2015,1,310411980,8611 BECKETT RD,WEST CHESTER,OH,45069,61,551114
2015,1,310411980,6250 CENTER HILL AVE,CINCINNATI,OH,45224,61,551114
2015,1,310411980,700 WILMER AVE HANGER #51,CINCINNATI,OH,45226,61,551114
2015,1,310411980,11510 REED HARTMAN HWY,CINCINNATI,OH,45241,61,551114
2015,1,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2015,1,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2015,1,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310
2015,1,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61,611310
2015,1,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25,611310
2015,2,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2015,2,310411980,5348 VINE ST,CINCINNATI,OH,45217,61,551114
2015,2,310411980,8700 MASON MONTGOMERY RD,MASON,OH,45040,61,551114
2015,2,310411980,8611 BECKETT RD,WEST CHESTER,OH,45069,61,551114
2015,2,310411980,6250 CENTER HILL AVE,CINCINNATI,OH,45224,61,551114
2015,2,310411980,700 WILMER AVE HANGER #51,CINCINNATI,OH,45226,61,551114
2015,2,310411980,11510 REED HARTMAN HWY,CINCINNATI,OH,45241,61,551114
2015,2,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2015,2,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2015,2,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310
2015,2,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61,611310
2015,2,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25,611310
2015,3,310411980,8700 MASON MONTGOMERY RD,MASON,OH,45040,61,551114
2015,3,310411980,8611 BECKETT RD,WEST CHESTER,OH,45069,61,551114
2015,3,310411980,5348 VINE ST,CINCINNATI,OH,45217,61,551114
2015,3,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310
2015,3,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25,611310
2015,3,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2015,3,310411980,700 WILMER AVE HANGER #51,CINCINNATI,OH,45226,61,551114
2015,3,310411980,11510 REED HARTMAN HWY,CINCINNATI,OH,45241,61,551114
2015,3,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61,611310
2015,3,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2015,3,310411980,6250 CENTER HILL AVE,CINCINNATI,OH,45224,61,551114
2015,3,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2015,4,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2015,4,310411980,5348 VINE ST,CINCINNATI,OH,45217,61,551114
2015,4,310411980,8700 MASON MONTGOMERY RD,MASON,OH,45040,61,551114
2015,4,310411980,8611 BECKETT RD,WEST CHESTER,OH,45069,61,551114
2015,4,310411980,6250 CENTER HILL AVE,CINCINNATI,OH,45224,61,551114
2015,4,310411980,700 WILMER AVE HANGER #51,CINCINNATI,OH,45226,61,551114
2015,4,310411980,11510 REED HARTMAN HWY,CINCINNATI,OH,45241,61,551114
2015,4,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2015,4,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2015,4,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310
2015,4,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61,611310
2015,4,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25,611310
2016,1,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2016,1,310411980,5348 VINE ST,CINCINNATI,OH,45217,61,551114
2016,1,310411980,8700 MASON MONTGOMERY RD,MASON,OH,45040,165,551114
2016,1,310411980,8611 BECKETT RD,WEST CHESTER,OH,45069,17,551114
2016,1,310411980,6250 CENTER HILL AVE,CINCINNATI,OH,45224,61,551114
2016,1,310411980,700 WILMER AVE HANGER #51,CINCINNATI,OH,45226,61,551114
2016,1,310411980,11510 REED HARTMAN HWY,CINCINNATI,OH,45241,61,551114
2016,1,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2016,1,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2016,1,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310
2016,1,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61,611310
2016,1,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25,611310
2016,2,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2016,2,310411980,5348 VINE ST,CINCINNATI,OH,45217,61,551114
2016,2,310411980,8700 MASON MONTGOMERY RD,MASON,OH,45040,165,551114
2016,2,310411980,8611 BECKETT RD,WEST CHESTER,OH,45069,17,551114
2016,2,310411980,6250 CENTER HILL AVE,CINCINNATI,OH,45224,61,551114
2016,2,310411980,700 WILMER AVE HANGER #51,CINCINNATI,OH,45226,61,551114
2016,2,310411980,11510 REED HARTMAN HWY,CINCINNATI,OH,45241,61,551114
2016,2,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2016,2,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2016,2,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310
2016,2,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61,611310
2016,2,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25,611310
2016,3,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2016,3,310411980,5348 VINE ST,CINCINNATI,OH,45217,61,551114
2016,3,310411980,8700 MASON MONTGOMERY RD,MASON,OH,45040,165,551114
2016,3,310411980,8611 BECKETT RD,WEST CHESTER,OH,45069,17,551114
2016,3,310411980,6250 CENTER HILL AVE,CINCINNATI,OH,45224,61,551114
2016,3,310411980,700 WILMER AVE HANGER #51,CINCINNATI,OH,45226,61,551114
2016,3,310411980,11510 REED HARTMAN HWY,CINCINNATI,OH,45241,61,551114
2016,3,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2016,3,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2016,3,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310
2016,3,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61,611310
2016,3,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25,611310
2016,4,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611
2016,4,310411980,5348 VINE ST,CINCINNATI,OH,45217,61,551114
2016,4,310411980,8700 MASON MONTGOMERY RD,MASON,OH,45040,165,551114
2016,4,310411980,8611 BECKETT RD,WEST CHESTER,OH,45069,17,551114
2016,4,310411980,6250 CENTER HILL AVE,CINCINNATI,OH,45224,61,551114
2016,4,310411980,700 WILMER AVE HANGER #51,CINCINNATI,OH,45226,61,551114
2016,4,310411980,11510 REED HARTMAN HWY,CINCINNATI,OH,45241,61,551114
2016,4,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310
2016,4,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310
2016,4,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310
