OID_,Year,Quarter,EIN,Address,City,State,Zip,County,naics,OBJECTID,Join_Count,TARGET_FID,STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CNECTAFP,NECTAFP,NCTADVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
16,2006,4,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,16,1,16,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
17,2006,4,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,17,1,17,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
18,2006,3,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310,18,1,18,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
19,2007,1,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,19,1,19,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
20,2006,4,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,20,1,20,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
21,2007,1,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,21,1,21,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
22,2007,1,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,22,1,22,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
23,2006,4,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310,23,1,23,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
24,2007,2,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,24,1,24,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
25,2007,1,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,25,1,25,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
26,2007,2,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,26,1,26,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
27,2007,2,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,27,1,27,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
28,2007,2,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,28,1,28,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
29,2007,1,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310,29,1,29,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
30,2007,3,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,30,1,30,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
31,2007,3,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,31,1,31,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
32,2007,3,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,32,1,32,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
33,2007,2,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310,33,1,33,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
34,2007,3,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,34,1,34,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
35,2007,4,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,35,1,35,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
36,2007,4,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,36,1,36,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
37,2007,4,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,37,1,37,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
38,2007,3,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310,38,1,38,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
39,2007,4,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,39,1,39,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
40,2008,1,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,40,1,40,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
41,2008,1,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,41,1,41,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
42,2008,1,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,42,1,42,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
43,2007,4,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310,43,1,43,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
44,2008,1,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,44,1,44,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
45,2008,2,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,45,1,45,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
46,2008,2,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,46,1,46,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
47,2008,2,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,47,1,47,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
48,2008,2,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,48,1,48,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
49,2008,1,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310,49,1,49,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
50,2008,3,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,50,1,50,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
51,2008,3,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,51,1,51,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
52,2008,3,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,52,1,52,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
53,2008,2,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310,53,1,53,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
54,2008,3,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,54,1,54,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
55,2008,4,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,55,1,55,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
56,2008,4,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,56,1,56,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
57,2008,4,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,57,1,57,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
58,2008,3,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310,58,1,58,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
59,2009,1,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,59,1,59,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
60,2008,4,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,60,1,60,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
61,2009,1,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,61,1,61,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
62,2009,1,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,62,1,62,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
63,2008,4,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310,63,1,63,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
64,2009,1,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,64,1,64,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
65,2009,2,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,65,1,65,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
66,2009,2,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,66,1,66,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
67,2009,1,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310,67,1,67,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
68,2009,2,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,68,1,68,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
69,2009,2,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,69,1,69,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
70,2009,3,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,70,1,70,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
71,2009,3,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,71,1,71,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
72,2009,3,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,72,1,72,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
73,2009,4,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,73,1,73,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
74,2009,2,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310,74,1,74,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
75,2009,3,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,75,1,75,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
76,2009,4,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,76,1,76,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
77,2009,4,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,77,1,77,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
78,2009,3,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310,78,1,78,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
79,2009,4,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,79,1,79,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
80,2010,1,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,80,1,80,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
81,2010,1,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,81,1,81,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
82,2010,1,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,82,1,82,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
83,2009,4,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310,83,1,83,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
84,2010,1,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,84,1,84,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
85,2010,2,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,85,1,85,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
86,2010,2,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110,86,1,86,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
87,2010,2,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,87,1,87,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
88,2010,2,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,88,1,88,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
89,2010,1,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310,89,1,89,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
90,2010,3,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,90,1,90,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
91,2010,2,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,91,1,91,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
92,2010,3,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110,92,1,92,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
93,2010,3,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,93,1,93,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
94,2010,3,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,94,1,94,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
95,2010,2,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310,95,1,95,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
96,2010,4,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,96,1,96,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
97,2010,3,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,97,1,97,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
98,2010,4,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110,98,1,98,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
99,2010,4,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,99,1,99,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
100,2010,4,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,100,1,100,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
101,2010,3,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310,101,1,101,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
102,2011,1,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,102,1,102,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
103,2010,4,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,103,1,103,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
104,2011,1,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,104,1,104,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
